T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,,,,
,,,,,,,
Year,Region,County Name,District Name,District Number,Charter Status,Gender,Enrollment
2014-2015,06,LEON COUNTY,LEON ISD,145911,TRADITIONAL ISD/CSD,Male,351
2014-2015,10,FANNIN COUNTY,LEONARD ISD,074909,TRADITIONAL ISD/CSD,Female,408
2014-2015,10,FANNIN COUNTY,LEONARD ISD,074909,TRADITIONAL ISD/CSD,Male,469
2014-2015,17,HOCKLEY COUNTY,LEVELLAND ISD,110902,TRADITIONAL ISD/CSD,Female,1576
2014-2015,17,HOCKLEY COUNTY,LEVELLAND ISD,110902,TRADITIONAL ISD/CSD,Male,1580
2014-2015,07,RUSK COUNTY,LEVERETTS CHAPEL ISD,201904,TRADITIONAL ISD/CSD,Female,136
2014-2015,07,RUSK COUNTY,LEVERETTS CHAPEL ISD,201904,TRADITIONAL ISD/CSD,Male,141
2014-2015,11,DENTON COUNTY,LEWISVILLE ISD,061902,TRADITIONAL ISD/CSD,Female,25838
2014-2015,11,DENTON COUNTY,LEWISVILLE ISD,061902,TRADITIONAL ISD/CSD,Male,27518
2014-2015,13,LEE COUNTY,LEXINGTON ISD,144902,TRADITIONAL ISD/CSD,Female,475
2014-2015,13,LEE COUNTY,LEXINGTON ISD,144902,TRADITIONAL ISD/CSD,Male,489
2014-2015,13,WILLIAMSON COUNTY,LIBERTY HILL ISD,246908,TRADITIONAL ISD/CSD,Female,1602
2014-2015,13,WILLIAMSON COUNTY,LIBERTY HILL ISD,246908,TRADITIONAL ISD/CSD,Male,1616
2014-2015,04,LIBERTY COUNTY,LIBERTY ISD,146906,TRADITIONAL ISD/CSD,Female,1029
2014-2015,04,LIBERTY COUNTY,LIBERTY ISD,146906,TRADITIONAL ISD/CSD,Male,1086
2014-2015,08,BOWIE COUNTY,LIBERTY-EYLAU ISD,019908,TRADITIONAL ISD/CSD,Female,1258
2014-2015,08,BOWIE COUNTY,LIBERTY-EYLAU ISD,019908,TRADITIONAL ISD/CSD,Male,1302
2014-2015,10,DALLAS COUNTY,LIFE SCHOOL,057807,OPEN ENROLLMENT CHARTER,Female,2651
2014-2015,10,DALLAS COUNTY,LIFE SCHOOL,057807,OPEN ENROLLMENT CHARTER,Male,2375
2014-2015,20,BEXAR COUNTY,LIGHTHOUSE CHARTER SCHOOL,015825,OPEN ENROLLMENT CHARTER,Female,140
2014-2015,20,BEXAR COUNTY,LIGHTHOUSE CHARTER SCHOOL,015825,OPEN ENROLLMENT CHARTER,Male,122
2014-2015,07,SMITH COUNTY,LINDALE ISD,212903,TRADITIONAL ISD/CSD,Female,1924
2014-2015,07,SMITH COUNTY,LINDALE ISD,212903,TRADITIONAL ISD/CSD,Male,1941
2014-2015,08,CASS COUNTY,LINDEN-KILDARE CISD,034905,TRADITIONAL ISD/CSD,Female,374
2014-2015,08,CASS COUNTY,LINDEN-KILDARE CISD,034905,TRADITIONAL ISD/CSD,Male,369
2014-2015,11,COOKE COUNTY,LINDSAY ISD,049907,TRADITIONAL ISD/CSD,Female,258
2014-2015,11,COOKE COUNTY,LINDSAY ISD,049907,TRADITIONAL ISD/CSD,Male,251
2014-2015,11,ERATH COUNTY,LINGLEVILLE ISD,072909,TRADITIONAL ISD/CSD,Female,93
2014-2015,11,ERATH COUNTY,LINGLEVILLE ISD,072909,TRADITIONAL ISD/CSD,Male,133
2014-2015,11,HOOD COUNTY,LIPAN ISD,111902,TRADITIONAL ISD/CSD,Female,168
2014-2015,11,HOOD COUNTY,LIPAN ISD,111902,TRADITIONAL ISD/CSD,Male,167
2014-2015,05,ORANGE COUNTY,LITTLE CYPRESS-MAURICEVILLE CISD,181908,TRADITIONAL ISD/CSD,Female,1579
2014-2015,05,ORANGE COUNTY,LITTLE CYPRESS-MAURICEVILLE CISD,181908,TRADITIONAL ISD/CSD,Male,1763
2014-2015,11,DENTON COUNTY,LITTLE ELM ISD,061914,TRADITIONAL ISD/CSD,Female,3299
2014-2015,11,DENTON COUNTY,LITTLE ELM ISD,061914,TRADITIONAL ISD/CSD,Male,3651
2014-2015,17,LAMB COUNTY,LITTLEFIELD ISD,140904,TRADITIONAL ISD/CSD,Female,709
2014-2015,17,LAMB COUNTY,LITTLEFIELD ISD,140904,TRADITIONAL ISD/CSD,Male,746
2014-2015,06,POLK COUNTY,LIVINGSTON ISD,187907,TRADITIONAL ISD/CSD,Female,1937
2014-2015,06,POLK COUNTY,LIVINGSTON ISD,187907,TRADITIONAL ISD/CSD,Male,2122
2014-2015,13,LLANO COUNTY,LLANO ISD,150901,TRADITIONAL ISD/CSD,Female,870
2014-2015,13,LLANO COUNTY,LLANO ISD,150901,TRADITIONAL ISD/CSD,Male,927
2014-2015,13,CALDWELL COUNTY,LOCKHART ISD,028902,TRADITIONAL ISD/CSD,Female,2663
2014-2015,13,CALDWELL COUNTY,LOCKHART ISD,028902,TRADITIONAL ISD/CSD,Male,2702
2014-2015,17,FLOYD COUNTY,LOCKNEY ISD,077902,TRADITIONAL ISD/CSD,Female,241
2014-2015,17,FLOYD COUNTY,LOCKNEY ISD,077902,TRADITIONAL ISD/CSD,Male,258
2014-2015,15,MCCULLOCH COUNTY,LOHN ISD,160905,TRADITIONAL ISD/CSD,Female,66
2014-2015,15,MCCULLOCH COUNTY,LOHN ISD,160905,TRADITIONAL ISD/CSD,Male,61
2014-2015,12,LAMPASAS COUNTY,LOMETA ISD,141902,TRADITIONAL ISD/CSD,Female,132
2014-2015,12,LAMPASAS COUNTY,LOMETA ISD,141902,TRADITIONAL ISD/CSD,Male,136
2014-2015,02,NUECES COUNTY,LONDON ISD,178906,TRADITIONAL ISD/CSD,Female,377
2014-2015,02,NUECES COUNTY,LONDON ISD,178906,TRADITIONAL ISD/CSD,Male,398
2014-2015,10,HUNT COUNTY,LONE OAK ISD,116906,TRADITIONAL ISD/CSD,Female,474
2014-2015,10,HUNT COUNTY,LONE OAK ISD,116906,TRADITIONAL ISD/CSD,Male,526
2014-2015,07,GREGG COUNTY,LONGVIEW ISD,092903,TRADITIONAL ISD/CSD,Female,4274
2014-2015,07,GREGG COUNTY,LONGVIEW ISD,092903,TRADITIONAL ISD/CSD,Male,4507
2014-2015,17,GAINES COUNTY,LOOP ISD,083902,TRADITIONAL ISD/CSD,Female,74
2014-2015,17,GAINES COUNTY,LOOP ISD,083902,TRADITIONAL ISD/CSD,Male,52
2014-2015,14,MITCHELL COUNTY,LORAINE ISD,168902,TRADITIONAL ISD/CSD,Female,79
2014-2015,14,MITCHELL COUNTY,LORAINE ISD,168902,TRADITIONAL ISD/CSD,Male,89
2014-2015,12,MCLENNAN COUNTY,LORENA ISD,161907,TRADITIONAL ISD/CSD,Female,822
2014-2015,12,MCLENNAN COUNTY,LORENA ISD,161907,TRADITIONAL ISD/CSD,Male,849
2014-2015,17,CROSBY COUNTY,LORENZO ISD,054902,TRADITIONAL ISD/CSD,Female,148
2014-2015,17,CROSBY COUNTY,LORENZO ISD,054902,TRADITIONAL ISD/CSD,Male,136
2014-2015,01,CAMERON COUNTY,LOS FRESNOS CISD,031906,TRADITIONAL ISD/CSD,Female,5184
2014-2015,01,CAMERON COUNTY,LOS FRESNOS CISD,031906,TRADITIONAL ISD/CSD,Male,5465
2014-2015,03,WHARTON COUNTY,LOUISE ISD,241906,TRADITIONAL ISD/CSD,Female,231
2014-2015,03,WHARTON COUNTY,LOUISE ISD,241906,TRADITIONAL ISD/CSD,Male,243
2014-2015,10,COLLIN COUNTY,LOVEJOY ISD,043919,TRADITIONAL ISD/CSD,Female,1850
2014-2015,10,COLLIN COUNTY,LOVEJOY ISD,043919,TRADITIONAL ISD/CSD,Male,1978
2014-2015,06,HOUSTON COUNTY,LOVELADY ISD,113903,TRADITIONAL ISD/CSD,Female,243
2014-2015,06,HOUSTON COUNTY,LOVELADY ISD,113903,TRADITIONAL ISD/CSD,Male,270
2014-2015,17,LUBBOCK COUNTY,LUBBOCK ISD,152901,TRADITIONAL ISD/CSD,Female,14417
2014-2015,17,LUBBOCK COUNTY,LUBBOCK ISD,152901,TRADITIONAL ISD/CSD,Male,14848
2014-2015,17,LUBBOCK COUNTY,LUBBOCK-COOPER ISD,152906,TRADITIONAL ISD/CSD,Female,2615
2014-2015,17,LUBBOCK COUNTY,LUBBOCK-COOPER ISD,152906,TRADITIONAL ISD/CSD,Male,2699
2014-2015,14,JONES COUNTY,LUEDERS-AVOCA ISD,127905,TRADITIONAL ISD/CSD,Female,44
2014-2015,14,JONES COUNTY,LUEDERS-AVOCA ISD,127905,TRADITIONAL ISD/CSD,Male,72
2014-2015,07,ANGELINA COUNTY,LUFKIN ISD,003903,TRADITIONAL ISD/CSD,Female,4062
2014-2015,07,ANGELINA COUNTY,LUFKIN ISD,003903,TRADITIONAL ISD/CSD,Male,4286
2014-2015,13,CALDWELL COUNTY,LULING ISD,028903,TRADITIONAL ISD/CSD,Female,686
2014-2015,13,CALDWELL COUNTY,LULING ISD,028903,TRADITIONAL ISD/CSD,Male,698
2014-2015,05,HARDIN COUNTY,LUMBERTON ISD,100907,TRADITIONAL ISD/CSD,Female,1887
2014-2015,05,HARDIN COUNTY,LUMBERTON ISD,100907,TRADITIONAL ISD/CSD,Male,2002
2014-2015,10,DALLAS COUNTY,LUMIN EDUCATION,057805,OPEN ENROLLMENT CHARTER,Female,136
2014-2015,10,DALLAS COUNTY,LUMIN EDUCATION,057805,OPEN ENROLLMENT CHARTER,Male,136
2014-2015,01,WILLACY COUNTY,LYFORD CISD,245902,TRADITIONAL ISD/CSD,Female,773
2014-2015,01,WILLACY COUNTY,LYFORD CISD,245902,TRADITIONAL ISD/CSD,Male,780
2014-2015,20,ATASCOSA COUNTY,LYTLE ISD,007904,TRADITIONAL ISD/CSD,Female,838
2014-2015,20,ATASCOSA COUNTY,LYTLE ISD,007904,TRADITIONAL ISD/CSD,Male,886
2014-2015,10,KAUFMAN COUNTY,MABANK ISD,129905,TRADITIONAL ISD/CSD,Female,1685
2014-2015,10,KAUFMAN COUNTY,MABANK ISD,129905,TRADITIONAL ISD/CSD,Male,1775
2014-2015,06,MADISON COUNTY,MADISONVILLE CISD,154901,TRADITIONAL ISD/CSD,Female,1123
2014-2015,06,MADISON COUNTY,MADISONVILLE CISD,154901,TRADITIONAL ISD/CSD,Male,1209
2014-2015,06,MONTGOMERY COUNTY,MAGNOLIA ISD,170906,TRADITIONAL ISD/CSD,Female,6079
2014-2015,06,MONTGOMERY COUNTY,MAGNOLIA ISD,170906,TRADITIONAL ISD/CSD,Male,6379
2014-2015,04,GALVESTON COUNTY,MAINLAND PREPARATORY ACADEMY,084801,OPEN ENROLLMENT CHARTER,Female,262
2014-2015,04,GALVESTON COUNTY,MAINLAND PREPARATORY ACADEMY,084801,OPEN ENROLLMENT CHARTER,Male,175
2014-2015,07,HENDERSON COUNTY,MALAKOFF ISD,107906,TRADITIONAL ISD/CSD,Female,582
2014-2015,07,HENDERSON COUNTY,MALAKOFF ISD,107906,TRADITIONAL ISD/CSD,Male,632
2014-2015,12,HILL COUNTY,MALONE ISD,109908,TRADITIONAL ISD/CSD,Female,48
2014-2015,12,HILL COUNTY,MALONE ISD,109908,TRADITIONAL ISD/CSD,Male,48
2014-2015,08,BOWIE COUNTY,MALTA ISD,019910,TRADITIONAL ISD/CSD,Female,55
2014-2015,08,BOWIE COUNTY,MALTA ISD,019910,TRADITIONAL ISD/CSD,Male,73
2014-2015,10,DALLAS COUNTY,MANARA ACADEMY,057844,OPEN ENROLLMENT CHARTER,Female,376
2014-2015,10,DALLAS COUNTY,MANARA ACADEMY,057844,OPEN ENROLLMENT CHARTER,Male,318
2014-2015,13,TRAVIS COUNTY,MANOR ISD,227907,TRADITIONAL ISD/CSD,Female,4319
2014-2015,13,TRAVIS COUNTY,MANOR ISD,227907,TRADITIONAL ISD/CSD,Male,4533
2014-2015,11,TARRANT COUNTY,MANSFIELD ISD,220908,TRADITIONAL ISD/CSD,Female,16085
2014-2015,11,TARRANT COUNTY,MANSFIELD ISD,220908,TRADITIONAL ISD/CSD,Male,17325
2014-2015,18,BREWSTER COUNTY,MARATHON ISD,022902,TRADITIONAL ISD/CSD,Female,21
2014-2015,18,BREWSTER COUNTY,MARATHON ISD,022902,TRADITIONAL ISD/CSD,Male,21
2014-2015,13,BURNET COUNTY,MARBLE FALLS ISD,027904,TRADITIONAL ISD/CSD,Female,1968
2014-2015,13,BURNET COUNTY,MARBLE FALLS ISD,027904,TRADITIONAL ISD/CSD,Male,2096
2014-2015,18,PRESIDIO COUNTY,MARFA ISD,189901,TRADITIONAL ISD/CSD,Female,160
2014-2015,18,PRESIDIO COUNTY,MARFA ISD,189901,TRADITIONAL ISD/CSD,Male,191
2014-2015,13,GUADALUPE COUNTY,MARION ISD,094904,TRADITIONAL ISD/CSD,Female,679
2014-2015,13,GUADALUPE COUNTY,MARION ISD,094904,TRADITIONAL ISD/CSD,Male,742
2014-2015,12,FALLS COUNTY,MARLIN ISD,073903,TRADITIONAL ISD/CSD,Female,453
2014-2015,12,FALLS COUNTY,MARLIN ISD,073903,TRADITIONAL ISD/CSD,Male,492
2014-2015,07,HARRISON COUNTY,MARSHALL ISD,102902,TRADITIONAL ISD/CSD,Female,2728
2014-2015,07,HARRISON COUNTY,MARSHALL ISD,102902,TRADITIONAL ISD/CSD,Male,2819
2014-2015,12,MCLENNAN COUNTY,MART ISD,161908,TRADITIONAL ISD/CSD,Female,245
2014-2015,12,MCLENNAN COUNTY,MART ISD,161908,TRADITIONAL ISD/CSD,Male,244
2014-2015,07,VAN ZANDT COUNTY,MARTINS MILL ISD,234905,TRADITIONAL ISD/CSD,Female,255
2014-2015,07,VAN ZANDT COUNTY,MARTINS MILL ISD,234905,TRADITIONAL ISD/CSD,Male,258
2014-2015,07,NACOGDOCHES COUNTY,MARTINSVILLE ISD,174909,TRADITIONAL ISD/CSD,Female,177
2014-2015,07,NACOGDOCHES COUNTY,MARTINSVILLE ISD,174909,TRADITIONAL ISD/CSD,Male,188
2014-2015,15,MASON COUNTY,MASON ISD,157901,TRADITIONAL ISD/CSD,Female,305
2014-2015,15,MASON COUNTY,MASON ISD,157901,TRADITIONAL ISD/CSD,Male,349
2014-2015,03,MATAGORDA COUNTY,MATAGORDA ISD,158904,TRADITIONAL ISD/CSD,Female,71
2014-2015,03,MATAGORDA COUNTY,MATAGORDA ISD,158904,TRADITIONAL ISD/CSD,Male,117
2014-2015,02,SAN PATRICIO COUNTY,MATHIS ISD,205904,TRADITIONAL ISD/CSD,Female,843
2014-2015,02,SAN PATRICIO COUNTY,MATHIS ISD,205904,TRADITIONAL ISD/CSD,Male,865
2014-2015,08,BOWIE COUNTY,MAUD ISD,019903,TRADITIONAL ISD/CSD,Female,217
2014-2015,08,BOWIE COUNTY,MAUD ISD,019903,TRADITIONAL ISD/CSD,Male,267
2014-2015,15,BROWN COUNTY,MAY ISD,025905,TRADITIONAL ISD/CSD,Female,136
2014-2015,15,BROWN COUNTY,MAY ISD,025905,TRADITIONAL ISD/CSD,Male,159
2014-2015,10,ELLIS COUNTY,MAYPEARL ISD,070915,TRADITIONAL ISD/CSD,Female,499
2014-2015,10,ELLIS COUNTY,MAYPEARL ISD,070915,TRADITIONAL ISD/CSD,Male,554
2014-2015,01,HIDALGO COUNTY,MCALLEN ISD,108906,TRADITIONAL ISD/CSD,Female,12046
2014-2015,01,HIDALGO COUNTY,MCALLEN ISD,108906,TRADITIONAL ISD/CSD,Male,12646
2014-2015,18,UPTON COUNTY,MCCAMEY ISD,231901,TRADITIONAL ISD/CSD,Female,285
2014-2015,18,UPTON COUNTY,MCCAMEY ISD,231901,TRADITIONAL ISD/CSD,Male,263
2014-2015,13,BASTROP COUNTY,MCDADE ISD,011905,TRADITIONAL ISD/CSD,Female,100
2014-2015,13,BASTROP COUNTY,MCDADE ISD,011905,TRADITIONAL ISD/CSD,Male,106
2014-2015,12,MCLENNAN COUNTY,MCGREGOR ISD,161909,TRADITIONAL ISD/CSD,Female,642
2014-2015,12,MCLENNAN COUNTY,MCGREGOR ISD,161909,TRADITIONAL ISD/CSD,Male,731
2014-2015,10,COLLIN COUNTY,MCKINNEY ISD,043907,TRADITIONAL ISD/CSD,Female,12078
2014-2015,10,COLLIN COUNTY,MCKINNEY ISD,043907,TRADITIONAL ISD/CSD,Male,12733
2014-2015,16,GRAY COUNTY,MCLEAN ISD,090903,TRADITIONAL ISD/CSD,Female,103
2014-2015,16,GRAY COUNTY,MCLEAN ISD,090903,TRADITIONAL ISD/CSD,Male,104
2014-2015,08,CASS COUNTY,MCLEOD ISD,034906,TRADITIONAL ISD/CSD,Female,181
2014-2015,08,CASS COUNTY,MCLEOD ISD,034906,TRADITIONAL ISD/CSD,Male,199
2014-2015,02,MCMULLEN COUNTY,MCMULLEN COUNTY ISD,162904,TRADITIONAL ISD/CSD,Female,136
2014-2015,02,MCMULLEN COUNTY,MCMULLEN COUNTY ISD,162904,TRADITIONAL ISD/CSD,Male,128
2014-2015,17,TERRY COUNTY,MEADOW ISD,223902,TRADITIONAL ISD/CSD,Female,190
2014-2015,17,TERRY COUNTY,MEADOW ISD,223902,TRADITIONAL ISD/CSD,Male,158
2014-2015,20,KENDALL COUNTY,MEADOWLAND CHARTER SCHOOL,130801,OPEN ENROLLMENT CHARTER,Female,41
2014-2015,20,KENDALL COUNTY,MEADOWLAND CHARTER SCHOOL,130801,OPEN ENROLLMENT CHARTER,Male,60
2014-2015,04,HARRIS COUNTY,MEDICAL CENTER CHARTER SCHOOL,101801,OPEN ENROLLMENT CHARTER,Female,174
2014-2015,04,HARRIS COUNTY,MEDICAL CENTER CHARTER SCHOOL,101801,OPEN ENROLLMENT CHARTER,Male,152
2014-2015,20,BANDERA COUNTY,MEDINA ISD,010901,TRADITIONAL ISD/CSD,Female,130
2014-2015,20,BANDERA COUNTY,MEDINA ISD,010901,TRADITIONAL ISD/CSD,Male,139
2014-2015,20,MEDINA COUNTY,MEDINA VALLEY ISD,163908,TRADITIONAL ISD/CSD,Female,2032
2014-2015,20,MEDINA COUNTY,MEDINA VALLEY ISD,163908,TRADITIONAL ISD/CSD,Male,2186
2014-2015,10,COLLIN COUNTY,MELISSA ISD,043908,TRADITIONAL ISD/CSD,Female,1002
2014-2015,10,COLLIN COUNTY,MELISSA ISD,043908,TRADITIONAL ISD/CSD,Male,1117
2014-2015,16,HALL COUNTY,MEMPHIS ISD,096904,TRADITIONAL ISD/CSD,Female,243
2014-2015,16,HALL COUNTY,MEMPHIS ISD,096904,TRADITIONAL ISD/CSD,Male,295
2014-2015,15,MENARD COUNTY,MENARD ISD,164901,TRADITIONAL ISD/CSD,Female,147
2014-2015,15,MENARD COUNTY,MENARD ISD,164901,TRADITIONAL ISD/CSD,Male,158
2014-2015,01,HIDALGO COUNTY,MERCEDES ISD,108907,TRADITIONAL ISD/CSD,Female,2791
2014-2015,01,HIDALGO COUNTY,MERCEDES ISD,108907,TRADITIONAL ISD/CSD,Male,2978
2014-2015,12,BOSQUE COUNTY,MERIDIAN ISD,018902,TRADITIONAL ISD/CSD,Female,239
2014-2015,12,BOSQUE COUNTY,MERIDIAN ISD,018902,TRADITIONAL ISD/CSD,Male,255
2014-2015,13,WILLIAMSON COUNTY,MERIDIAN WORLD SCHOOL LLC,246801,OPEN ENROLLMENT CHARTER,Female,553
2014-2015,13,WILLIAMSON COUNTY,MERIDIAN WORLD SCHOOL LLC,246801,OPEN ENROLLMENT CHARTER,Male,540
2014-2015,14,TAYLOR COUNTY,MERKEL ISD,221904,TRADITIONAL ISD/CSD,Female,598
2014-2015,14,TAYLOR COUNTY,MERKEL ISD,221904,TRADITIONAL ISD/CSD,Male,529
2014-2015,10,DALLAS COUNTY,MESQUITE ISD,057914,TRADITIONAL ISD/CSD,Female,19702
2014-2015,10,DALLAS COUNTY,MESQUITE ISD,057914,TRADITIONAL ISD/CSD,Male,20571
2014-2015,12,LIMESTONE COUNTY,MEXIA ISD,147903,TRADITIONAL ISD/CSD,Female,907
2014-2015,12,LIMESTONE COUNTY,MEXIA ISD,147903,TRADITIONAL ISD/CSD,Male,1066
2014-2015,04,HARRIS COUNTY,MEYERPARK ELEMENTARY,101855,OPEN ENROLLMENT CHARTER,Female,109
2014-2015,04,HARRIS COUNTY,MEYERPARK ELEMENTARY,101855,OPEN ENROLLMENT CHARTER,Male,115
2014-2015,03,DEWITT COUNTY,MEYERSVILLE ISD,062906,TRADITIONAL ISD/CSD,Female,62
2014-2015,03,DEWITT COUNTY,MEYERSVILLE ISD,062906,TRADITIONAL ISD/CSD,Male,53
2014-2015,16,ROBERTS COUNTY,MIAMI ISD,197902,TRADITIONAL ISD/CSD,Female,100
2014-2015,16,ROBERTS COUNTY,MIAMI ISD,197902,TRADITIONAL ISD/CSD,Male,109
2014-2015,18,MIDLAND COUNTY,MIDLAND ACADEMY CHARTER SCHOOL,165802,OPEN ENROLLMENT CHARTER,Female,220
2014-2015,18,MIDLAND COUNTY,MIDLAND ACADEMY CHARTER SCHOOL,165802,OPEN ENROLLMENT CHARTER,Male,221
2014-2015,18,MIDLAND COUNTY,MIDLAND ISD,165901,TRADITIONAL ISD/CSD,Female,11721
2014-2015,18,MIDLAND COUNTY,MIDLAND ISD,165901,TRADITIONAL ISD/CSD,Male,12648
2014-2015,10,ELLIS COUNTY,MIDLOTHIAN ISD,070908,TRADITIONAL ISD/CSD,Female,3844
2014-2015,10,ELLIS COUNTY,MIDLOTHIAN ISD,070908,TRADITIONAL ISD/CSD,Male,4055
2014-2015,01,HIDALGO COUNTY,MIDVALLEY ACADEMY CHARTER DISTRICT,108804,OPEN ENROLLMENT CHARTER,Female,174
2014-2015,01,HIDALGO COUNTY,MIDVALLEY ACADEMY CHARTER DISTRICT,108804,OPEN ENROLLMENT CHARTER,Male,150
2014-2015,09,CLAY COUNTY,MIDWAY ISD,039905,TRADITIONAL ISD/CSD,Female,46
2014-2015,12,MCLENNAN COUNTY,MIDWAY ISD,161903,TRADITIONAL ISD/CSD,Female,3785
2014-2015,09,CLAY COUNTY,MIDWAY ISD,039905,TRADITIONAL ISD/CSD,Male,51
2014-2015,12,MCLENNAN COUNTY,MIDWAY ISD,161903,TRADITIONAL ISD/CSD,Male,3879
2014-2015,06,MILAM COUNTY,MILANO ISD,166903,TRADITIONAL ISD/CSD,Female,212
2014-2015,06,MILAM COUNTY,MILANO ISD,166903,TRADITIONAL ISD/CSD,Male,237
2014-2015,12,NAVARRO COUNTY,MILDRED ISD,175910,TRADITIONAL ISD/CSD,Female,342
2014-2015,12,NAVARRO COUNTY,MILDRED ISD,175910,TRADITIONAL ISD/CSD,Male,344
2014-2015,15,RUNNELS COUNTY,MILES ISD,200902,TRADITIONAL ISD/CSD,Female,202
2014-2015,15,RUNNELS COUNTY,MILES ISD,200902,TRADITIONAL ISD/CSD,Male,236
2014-2015,10,ELLIS COUNTY,MILFORD ISD,070909,TRADITIONAL ISD/CSD,Female,103
2014-2015,10,ELLIS COUNTY,MILFORD ISD,070909,TRADITIONAL ISD/CSD,Male,141
2014-2015,08,HOPKINS COUNTY,MILLER GROVE ISD,112907,TRADITIONAL ISD/CSD,Female,121
2014-2015,08,HOPKINS COUNTY,MILLER GROVE ISD,112907,TRADITIONAL ISD/CSD,Male,109
2014-2015,11,PARKER COUNTY,MILLSAP ISD,184904,TRADITIONAL ISD/CSD,Female,407
2014-2015,11,PARKER COUNTY,MILLSAP ISD,184904,TRADITIONAL ISD/CSD,Male,473
2014-2015,07,WOOD COUNTY,MINEOLA ISD,250903,TRADITIONAL ISD/CSD,Female,813
2014-2015,07,WOOD COUNTY,MINEOLA ISD,250903,TRADITIONAL ISD/CSD,Male,777
2014-2015,11,PALO PINTO COUNTY,MINERAL WELLS ISD,182903,TRADITIONAL ISD/CSD,Female,1623
2014-2015,11,PALO PINTO COUNTY,MINERAL WELLS ISD,182903,TRADITIONAL ISD/CSD,Male,1721
2014-2015,01,HIDALGO COUNTY,MISSION CISD,108908,TRADITIONAL ISD/CSD,Female,7404
2014-2015,01,HIDALGO COUNTY,MISSION CISD,108908,TRADITIONAL ISD/CSD,Male,7992
2014-2015,18,WARD COUNTY,MONAHANS-WICKETT-PYOTE ISD,238902,TRADITIONAL ISD/CSD,Female,1115
2014-2015,18,WARD COUNTY,MONAHANS-WICKETT-PYOTE ISD,238902,TRADITIONAL ISD/CSD,Male,1155
2014-2015,09,MONTAGUE COUNTY,MONTAGUE ISD,169908,TRADITIONAL ISD/CSD,Female,64
2014-2015,09,MONTAGUE COUNTY,MONTAGUE ISD,169908,TRADITIONAL ISD/CSD,Male,60
2014-2015,01,HIDALGO COUNTY,MONTE ALTO ISD,108915,TRADITIONAL ISD/CSD,Female,491
2014-2015,01,HIDALGO COUNTY,MONTE ALTO ISD,108915,TRADITIONAL ISD/CSD,Male,558
2014-2015,13,TRAVIS COUNTY,MONTESSORI FOR ALL,227826,OPEN ENROLLMENT CHARTER,Female,150
2014-2015,13,TRAVIS COUNTY,MONTESSORI FOR ALL,227826,OPEN ENROLLMENT CHARTER,Male,126
2014-2015,06,MONTGOMERY COUNTY,MONTGOMERY ISD,170903,TRADITIONAL ISD/CSD,Female,3835
2014-2015,06,MONTGOMERY COUNTY,MONTGOMERY ISD,170903,TRADITIONAL ISD/CSD,Male,4101
2014-2015,12,MCLENNAN COUNTY,MOODY ISD,161910,TRADITIONAL ISD/CSD,Female,346
2014-2015,12,MCLENNAN COUNTY,MOODY ISD,161910,TRADITIONAL ISD/CSD,Male,350
2014-2015,14,SHACKELFORD COUNTY,MORAN ISD,209902,TRADITIONAL ISD/CSD,Female,55
2014-2015,14,SHACKELFORD COUNTY,MORAN ISD,209902,TRADITIONAL ISD/CSD,Male,44
2014-2015,12,BOSQUE COUNTY,MORGAN ISD,018903,TRADITIONAL ISD/CSD,Female,46
2014-2015,12,BOSQUE COUNTY,MORGAN ISD,018903,TRADITIONAL ISD/CSD,Male,62
2014-2015,11,ERATH COUNTY,MORGAN MILL ISD,072910,TRADITIONAL ISD/CSD,Female,66
2014-2015,11,ERATH COUNTY,MORGAN MILL ISD,072910,TRADITIONAL ISD/CSD,Male,54
2014-2015,17,COCHRAN COUNTY,MORTON ISD,040901,TRADITIONAL ISD/CSD,Female,221
2014-2015,17,COCHRAN COUNTY,MORTON ISD,040901,TRADITIONAL ISD/CSD,Male,212
2014-2015,17,MOTLEY COUNTY,MOTLEY COUNTY ISD,173901,TRADITIONAL ISD/CSD,Female,77
2014-2015,17,MOTLEY COUNTY,MOTLEY COUNTY ISD,173901,TRADITIONAL ISD/CSD,Male,90
2014-2015,03,LAVACA COUNTY,MOULTON ISD,143902,TRADITIONAL ISD/CSD,Female,164
2014-2015,03,LAVACA COUNTY,MOULTON ISD,143902,TRADITIONAL ISD/CSD,Male,153
2014-2015,12,HILL COUNTY,MOUNT CALM ISD,109910,TRADITIONAL ISD/CSD,Female,68
2014-2015,12,HILL COUNTY,MOUNT CALM ISD,109910,TRADITIONAL ISD/CSD,Male,93
2014-2015,07,RUSK COUNTY,MOUNT ENTERPRISE ISD,201907,TRADITIONAL ISD/CSD,Female,209
2014-2015,07,RUSK COUNTY,MOUNT ENTERPRISE ISD,201907,TRADITIONAL ISD/CSD,Male,201
2014-2015,08,TITUS COUNTY,MOUNT PLEASANT ISD,225902,TRADITIONAL ISD/CSD,Female,2653
2014-2015,08,TITUS COUNTY,MOUNT PLEASANT ISD,225902,TRADITIONAL ISD/CSD,Male,2771
2014-2015,08,FRANKLIN COUNTY,MOUNT VERNON ISD,080901,TRADITIONAL ISD/CSD,Female,824
2014-2015,08,FRANKLIN COUNTY,MOUNT VERNON ISD,080901,TRADITIONAL ISD/CSD,Male,837
